,movieId,tag
0,1,Adventure
1,1,Animation
2,1,Children
3,1,Comedy
4,1,Fantasy
5,2,Adventure
6,2,Children
7,2,Fantasy
8,3,Comedy
9,3,Romance
10,4,Comedy
11,4,Drama
12,4,Romance
13,5,Comedy
14,6,Action
15,6,Crime
16,6,Thriller
17,7,Comedy
18,7,Romance
19,8,Adventure
20,8,Children
21,9,Action
22,10,Action
23,10,Adventure
24,10,Thriller
25,11,Comedy
26,11,Drama
27,11,Romance
28,12,Comedy
29,12,Horror
30,13,Adventure
31,13,Animation
32,13,Children
33,14,Drama
34,15,Action
35,15,Adventure
36,15,Romance
37,16,Crime
38,16,Drama
39,17,Drama
40,17,Romance
41,18,Comedy
42,19,Comedy
43,20,Action
44,20,Comedy
45,20,Crime
46,20,Drama
47,20,Thriller
48,21,Comedy
49,21,Crime
50,21,Thriller
51,22,Crime
52,22,Drama
53,22,Horror
54,22,Mystery
55,22,Thriller
56,23,Action
57,23,Crime
58,23,Thriller
59,24,Drama
60,24,Sci-Fi
61,25,Drama
62,25,Romance
63,26,Drama
64,27,Children
65,27,Drama
66,28,Drama
67,28,Romance
68,29,Adventure
69,29,Drama
70,29,Fantasy
71,29,Mystery
72,29,Sci-Fi
73,30,Crime
74,30,Drama
75,31,Drama
76,32,Mystery
77,32,Sci-Fi
78,32,Thriller
79,34,Children
80,34,Drama
81,36,Crime
82,36,Drama
83,38,Children
84,38,Comedy
85,39,Comedy
86,39,Romance
87,40,Drama
88,41,Drama
89,41,War
90,42,Action
91,42,Crime
92,42,Drama
93,43,Drama
94,44,Action
95,44,Adventure
96,44,Fantasy
97,45,Comedy
98,45,Drama
99,45,Thriller
100,46,Drama
101,46,Romance
102,47,Mystery
103,47,Thriller
104,48,Animation
105,48,Children
106,48,Drama
107,48,Musical
108,48,Romance
109,49,Drama
110,49,Romance
111,50,Crime
112,50,Mystery
113,50,Thriller
114,52,Comedy
115,52,Drama
116,52,Romance
117,53,Adventure
118,53,Drama
119,54,Children
120,54,Comedy
121,55,Drama
122,57,Drama
123,58,Comedy
124,58,Drama
125,58,Romance
126,60,Adventure
127,60,Children
128,60,Fantasy
129,61,Drama
130,61,Thriller
131,62,Drama
132,63,Comedy
133,63,Crime
134,64,Comedy
135,64,Romance
136,65,Comedy
137,66,Action
138,66,Sci-Fi
139,66,Thriller
140,68,Comedy
141,68,Romance
142,69,Comedy
143,70,Action
144,70,Comedy
145,70,Horror
146,70,Thriller
147,71,Action
148,72,Comedy
149,72,Drama
150,73,Drama
151,73,War
152,74,Drama
153,74,Romance
154,75,Comedy
155,75,Drama
156,76,Action
157,76,Sci-Fi
158,76,Thriller
159,77,Documentary
160,78,Action
161,78,Crime
162,78,Drama
163,78,Thriller
164,79,Drama
165,79,Thriller
166,80,Children
167,80,Drama
168,81,Crime
169,81,Drama
170,81,Romance
171,82,Comedy
172,82,Drama
173,83,Drama
174,83,Romance
175,85,Drama
176,85,Romance
177,86,Action
178,86,Adventure
179,86,Drama
180,87,Children
181,87,Comedy
182,88,Comedy
183,89,Action
184,89,Thriller
185,92,Drama
186,92,Horror
187,92,Thriller
188,93,Comedy
189,93,Horror
190,93,Romance
191,94,Comedy
192,94,Drama
193,94,Romance
194,95,Action
195,95,Adventure
196,95,Thriller
197,96,Comedy
198,96,Drama
199,97,Crime
200,97,Drama
201,99,Documentary
202,100,Drama
203,100,Thriller
204,101,Adventure
205,101,Comedy
206,101,Crime
207,101,Romance
208,102,Comedy
209,103,Mystery
210,103,Sci-Fi
211,103,Thriller
212,104,Comedy
213,105,Drama
214,105,Romance
215,106,Comedy
216,106,Drama
217,107,Adventure
218,107,Children
219,107,Comedy
220,107,Musical
221,108,Documentary
222,110,Action
223,110,Drama
224,110,War
225,111,Crime
226,111,Drama
227,111,Thriller
228,112,Action
229,112,Adventure
230,112,Comedy
231,112,Crime
232,113,Drama
233,113,Mystery
234,116,Documentary
235,117,Crime
236,117,Drama
237,118,Comedy
238,118,Romance
239,119,Comedy
240,121,Drama
241,122,Comedy
242,122,Romance
243,123,Drama
244,123,Mystery
245,123,Romance
246,125,Comedy
247,126,Adventure
248,126,Children
249,126,Fantasy
250,128,Documentary
251,129,Comedy
252,129,Romance
253,132,Thriller
254,135,Comedy
255,137,Documentary
256,140,Drama
257,140,Romance
258,141,Comedy
259,144,Comedy
260,145,Action
261,145,Comedy
262,145,Crime
263,145,Drama
264,145,Thriller
265,146,Adventure
266,146,Children
267,147,Drama
268,148,Drama
269,149,Crime
270,149,Drama
271,149,Thriller
272,150,Adventure
273,150,Drama
274,150,IMAX
275,151,Action
276,151,Drama
277,151,Romance
278,151,War
279,152,Drama
280,152,Horror
281,153,Action
282,153,Adventure
283,153,Comedy
284,153,Crime
285,154,Drama
286,155,Adventure
287,155,Drama
288,155,War
289,156,Comedy
290,156,Drama
291,157,Comedy
292,157,War
293,158,Adventure
294,158,Children
295,159,Crime
296,159,Drama
297,159,Mystery
298,160,Action
299,160,Adventure
300,160,Mystery
301,160,Sci-Fi
302,161,Drama
303,161,Thriller
304,161,War
305,162,Documentary
306,163,Action
307,163,Romance
308,163,Western
309,164,Crime
310,164,Film-Noir
311,164,Mystery
312,164,Thriller
313,165,Action
314,165,Crime
315,165,Thriller
316,166,Comedy
317,166,Crime
318,166,Drama
319,168,Action
320,168,Drama
321,168,Romance
322,169,Adventure
323,169,Children
324,169,Drama
325,170,Action
326,170,Adventure
327,170,Crime
328,170,Thriller
329,171,Comedy
330,171,Drama
331,172,Action
332,172,Sci-Fi
333,172,Thriller
334,173,Action
335,173,Crime
336,173,Sci-Fi
337,174,Comedy
338,175,Drama
339,176,Comedy
340,177,Horror
341,178,Comedy
342,178,Drama
343,179,Drama
344,179,Romance
345,180,Comedy
346,180,Romance
347,181,Action
348,181,Children
349,183,Comedy
350,183,Horror
351,183,Thriller
352,184,Drama
353,185,Action
354,185,Crime
355,185,Thriller
356,186,Comedy
357,186,Romance
358,187,Comedy
359,188,Fantasy
360,188,Horror
361,188,Mystery
362,189,Comedy
363,189,Fantasy
364,190,Thriller
365,191,Drama
366,191,Romance
367,193,Drama
368,194,Comedy
369,194,Drama
370,195,Comedy
371,195,Drama
372,195,Romance
373,196,Horror
374,196,Sci-Fi
375,198,Action
376,198,Crime
377,198,Drama
378,198,Mystery
379,198,Sci-Fi
380,198,Thriller
381,199,Drama
382,199,Musical
383,199,Romance
384,201,Drama
385,201,Fantasy
386,202,Drama
387,202,Romance
388,203,Comedy
389,204,Action
390,205,Comedy
391,205,Drama
392,206,Documentary
393,207,Drama
394,207,Romance
395,208,Action
396,208,Adventure
397,208,Sci-Fi
398,209,Drama
399,210,Western
400,211,Drama
401,212,Adventure
402,212,Comedy
403,212,Crime
404,212,Mystery
405,213,Drama
406,214,Drama
407,214,War
408,215,Drama
409,215,Romance
410,216,Comedy
411,217,Drama
412,217,Thriller
413,218,Comedy
414,218,Drama
415,219,Drama
416,220,Horror
417,222,Drama
418,222,Romance
419,223,Comedy
420,224,Comedy
421,224,Drama
422,224,Romance
423,225,Drama
424,225,Thriller
425,227,Action
426,227,Thriller
427,228,Comedy
428,229,Drama
429,229,Thriller
430,230,Drama
431,230,Thriller
432,231,Adventure
433,231,Comedy
434,232,Comedy
435,232,Drama
436,232,Romance
437,233,Drama
438,234,Comedy
439,235,Comedy
440,235,Drama
441,236,Action
442,236,Comedy
443,236,Romance
444,237,Comedy
445,237,Romance
446,238,Adventure
447,238,Children
448,239,Animation
449,239,Children
450,239,Comedy
451,239,Romance
452,240,Thriller
453,241,Children
454,241,Drama
455,242,Drama
456,242,Musical
457,243,Children
458,243,Comedy
459,243,Fantasy
460,246,Documentary
461,247,Crime
462,247,Drama
463,248,Comedy
